"zip","city","county","state","pop"
"34683","Palm Harbor","Pinellas","FL",33162
"33013","Hialeah","Miami-Dade","FL",32980
"33326","Fort Lauderdale","Broward","FL",32946
"32114","Daytona Beach","Volusia","FL",32923
"33990","Cape Coral","Lee","FL",32901
"32312","Tallahassee","Leon","FL",32864
"32578","Niceville","Okaloosa","FL",32833
"33460","Lake Worth","Palm Beach","FL",32688
"34205","Bradenton","Manatee","FL",32534
"34120","Naples","Collier","FL",32502
"33713","Saint Petersburg","Pinellas","FL",32350
"33173","Miami","Miami-Dade","FL",32307
"33445","Delray Beach","Palm Beach","FL",32261
"34266","Arcadia","De Soto","FL",32246
"34243","Sarasota","Manatee","FL",32235
"33143","Miami","Miami-Dade","FL",32197
"32208","Jacksonville","Duval","FL",32194
"33823","Auburndale","Polk","FL",32139
"33884","Winter Haven","Polk","FL",32069
"32405","Panama City","Bay","FL",32064
"33054","Opa Locka","Miami-Dade","FL",32035
"32277","Jacksonville","Duval","FL",32029
"32258","Jacksonville","Duval","FL",31990
"33180","Miami","Miami-Dade","FL",31883
"33904","Cape Coral","Lee","FL",31859
"32720","Deland","Volusia","FL",31819
"33611","Tampa","Hillsborough","FL",31791
"34119","Naples","Collier","FL",31632
"34472","Ocala","Marion","FL",31632
"32309","Tallahassee","Leon","FL",31610
"33909","Cape Coral","Lee","FL",31467
"33145","Miami","Miami-Dade","FL",31465
"32507","Pensacola","Escambia","FL",31288
"32904","Melbourne","Brevard","FL",31206
"33026","Hollywood","Broward","FL",31045
"33185","Miami","Miami-Dade","FL",30959
"32773","Sanford","Seminole","FL",30955
"34142","Immokalee","Collier","FL",30955
"33407","West Palm Beach","Palm Beach","FL",30928
"32082","Ponte Vedra Beach","Saint Johns","FL",30898
"32909","Palm Bay","Brevard","FL",30798
"32570","Milton","Santa Rosa","FL",30768
"33919","Fort Myers","Lee","FL",30764
"34772","Saint Cloud","Osceola","FL",30746
"32301","Tallahassee","Leon","FL",30712
"32607","Gainesville","Alachua","FL",30624
"33702","Saint Petersburg","Pinellas","FL",30562
"32127","Daytona Beach","Volusia","FL",30415
"33771","Largo","Pinellas","FL",30346
"34231","Sarasota","Sarasota","FL",30267
"33144","Miami","Miami-Dade","FL",30235
"32221","Jacksonville","Duval","FL",30227
"33809","Lakeland","Polk","FL",30137
"32159","Lady Lake","Lake","FL",30135
"34990","Palm City","Martin","FL",30101
"33626","Tampa","Hillsborough","FL",29964
"33138","Miami","Miami-Dade","FL",29867
"33150","Miami","Miami-Dade","FL",29839
"32779","Longwood","Seminole","FL",29737
"33803","Lakeland","Polk","FL",29675
"32086","Saint Augustine","Saint Johns","FL",29568
"32205","Jacksonville","Duval","FL",29499
"33334","Fort Lauderdale","Broward","FL",29478
"33917","North Fort Myers","Lee","FL",29439
"32539","Crestview","Okaloosa","FL",29265
"33168","Miami","Miami-Dade","FL",29072
"33325","Fort Lauderdale","Broward","FL",28987
"33442","Deerfield Beach","Broward","FL",28846
"34684","Palm Harbor","Pinellas","FL",28784
"33328","Fort Lauderdale","Broward","FL",28782
"33404","West Palm Beach","Palm Beach","FL",28717
"32583","Milton","Santa Rosa","FL",28585
"32003","Orange Park","Clay","FL",28531
"32327","Crawfordville","Wakulla","FL",28319
"33401","West Palm Beach","Palm Beach","FL",28287
"32809","Orlando","Orange","FL",28258
"33510","Brandon","Hillsborough","FL",28176
"33308","Fort Lauderdale","Broward","FL",27951
"33570","Ruskin","Hillsborough","FL",27821
"33130","Miami","Miami-Dade","FL",27818
"33067","Pompano Beach","Broward","FL",27784
"32806","Orlando","Orange","FL",27768
"32958","Sebastian","Indian River","FL",27676
"32533","Cantonment","Escambia","FL",27632
"33069","Pompano Beach","Broward","FL",27612
"33544","Zephyrhills","Pasco","FL",27606
"33705","Saint Petersburg","Pinellas","FL",27596
"34112","Naples","Collier","FL",27543
"34287","North Port","Sarasota","FL",27532
"34639","Land O Lakes","Pasco","FL",27522
"34689","Tarpon Springs","Pinellas","FL",27496
"33830","Bartow","Polk","FL",27476
"32819","Orlando","Orange","FL",27442
"33569","Riverview","Hillsborough","FL",27428
"33837","Davenport","Polk","FL",27428
"33971","Lehigh Acres","Lee","FL",27255
"33028","Hollywood","Broward","FL",27235
"32168","New Smyrna Beach","Volusia","FL",27186
"33584","Seffner","Hillsborough","FL",27153
"32937","Satellite Beach","Brevard","FL",27126
"33618","Tampa","Hillsborough","FL",27081
"33441","Deerfield Beach","Broward","FL",27050
"32250","Jacksonville Beach","Duval","FL",26956
"33189","Miami","Miami-Dade","FL",26937
"33406","West Palm Beach","Palm Beach","FL",26858
"32927","Cocoa","Brevard","FL",26687
"32757","Mount Dora","Lake","FL",26679
"32789","Winter Park","Orange","FL",26568
"33825","Avon Park","Highlands","FL",26526
"32962","Vero Beach","Indian River","FL",26469
"33470","Loxahatchee","Palm Beach","FL",26384
"32177","Palatka","Putnam","FL",26377
"34986","Port Saint Lucie","Saint Lucie","FL",26317
"33764","Clearwater","Pinellas","FL",26282
"34606","Spring Hill","Hernando","FL",26274
"33625","Tampa","Hillsborough","FL",26242
"33314","Fort Lauderdale","Broward","FL",26188
"33543","Zephyrhills","Pasco","FL",26172
